sentence,year,label,pred_label
"Unfortunately, from the point of view of both the analyst and the policymaker, the link between an asset's price and the structure of its return is hard to pin down, as it typically embodies complex factors that are inherently difficult to measure, such as expected future earnings, riskiness, and risk aversion.",2005,2,2
Companies can keep their focus on cutting costs and increasing productivity; they can foster research and innovation; they can offer training and employee incentives to acquire more education and skills.,2007,2,0
"Although we cannot ascertain the precise rates of resource utilization that the economy can sustain, we can have little doubt that, after three years of above-trend growth, slack has been substantially reduced.",1997,1,1
"Case studies of individual industries show that, in some cases, the planning for technological modernization has not always been adequate, with the result that some purchases of high-tech equipment and software have not added much to productivity or profits.",1997,2,0
"That said, our model accords the greatest roles to increased productivity growth, which has made the United States a magnet for foreign saving, and to the slump in foreign domestic demand, which has led to an excess of saving in those economies.",2007,0,0
"First, the expansion of trade may cause domestic inflation to depend to a greater extent on the prices of imported goods--not only because imported goods enter the consumer basket or (in the case of imported intermediate goods) affect the costs of domestic production, but because competition with imports affects the pricing power of domestic producers.",2001,2,2
"During the first stage, the inflation rate would exceed the long-term desired inflation rate, as the price-level gap was eliminated and the effects of previous deflation undone.",2000,1,2
"Here in the United States, my colleague Governor Mike Kelley has stated that we are likely to see some disruptions to economic activity because of Year 2000 problems but the effects are likely to be temporary and quickly reversed.",1999,2,2
"However, in my judgment, reliance on these two approaches is not symmetric; instead, the forecast-based approach has become increasingly dominant in the monetary policymaking of leading central banks.",2005,2,0
"These authors point out (as have many others) that, when nominal interest rates are at or near zero, the central bank can lower the real rate of interest only by creating expectations of inflation on the part of the public.",2003,2,0
"As a result, deregulation, globalization, and innovation have made it easier for citizens to move their wealth out of nominal assets in their local currency and thereby avoid any inflation tax should their government show signs that it might resort to inflationary tactics to finance spending.6 At the same time, the publicâ€™s understanding of the costs of inflation has increased, in part because of experiences of high inflation in many countries in the 1980s.",2004,2,1
"Moreover, to the extent that more-rapid growth of productivity shows through to faster gains in nominal wages, there will be fewer instances in which nominal wages will be pressured to fall.",2021,2,0
"Moreover, investing in EMEs has become more attractive as many EMEs have improved their macroeconomic policies and institutional frameworks over recent decades; growth differentials may partly be reflecting these improvements.",2006,2,0
"The Federal Open Market Committee (FOMC) has been responsible for monetary policy decisions in the United States since it was established by the Banking Act of 1935, two decades after the founding of the Fed itself.2 The movement toward committees reflects the advantages of committees in aggregating a wide range of information, perspectives, and models.",2007,2,2
"It is important to note, however, that although sound policy undoubtedly helped create the conditions for growth, macroeconomic policy cannot create growth itself.",1999,2,2
"China has eased some of its most stringent COVID containment measures but recently revived travel restrictions in some areas, and its approach to the pandemic remains an upside risk for inflation.",2007,1,1
The International Monetary Fund projects that global economic growth in 2019 will be the slowest since the financial crisis.,2020,0,1
"Though widely anticipated even before the actions of October, the recession and retrenchment in employment that followed those actions resulted in pressures on the Federal Reserve to reverse course.",2007,0,0
"Going forward, the question is not only whether inflation will fall in the coming months, but also how far it will fall and if it will fall soon enough to avoid spurring a concerning rise in longer-term inflation expectations.",1998,1,0
The ultimate responsibility for price stability rests with the Federal Reserve.,2021,2,2
"This direction of causality may obscure the negative relationship, running from higher inflation to lower growth, presumed to hold in the longer term.",2003,1,0
The presidents' reports often include anecdotal updates from businesses or other sources to provide real-time information on regional economic activity.,2022,2,2
Microeconomic studies provide corroborating information to the macroeconomic evidence of a post-1995 acceleration in productivity growth.,2017,0,2
"The dual mandate seems proper and fitting, given that economic costs are incurred both by having inflation stray from its long-run goal and by having output deviate from the economy's potential to produce; and it seems to produce results not too different in practice from those associated with central banks that are flexible inflation targeters.",2004,2,2
"In fact, the low funds rate has been necessary to promote growth that, to date, has been just sufficient to begin reducing substantial margins of slack in resource utilization.",1999,0,1
"While the current episode has not yet concluded, it appears that, responding vigorously in a relatively flexible economy to the aftermath of bubbles, as traumatic as that may be, is less inhibiting to long-term growth than chronic high-inflation monetary policy.",2017,1,0
"This conclusion is buttressed by recent sizable increases estimated for labor productivity for the manufacturing sector, derived from a data system that, for the most part, is independent of the national accounts.",2003,2,0
If the prices are wrong -- built on the base on an incorrect view of the economy or Federal Reserve intentions -- we will prove them wrong and provide an anchor for the market to adjust to.,2006,2,0
"The unmooring of inflation expectations greatly complicated the process of making monetary policy; in particular, the Fed's loss of credibility significantly increased the cost of achieving disinflation.",1999,1,0
The evidence suggests that new technology often results in more growth in employment in innovating industries.,2013,2,2
Does the rapid growth in cross-border capital flows limit or even eliminate the ability of domestic monetary policy to affect domestic interest rates?,1999,2,0
"Obviously, productivity growth generated through this rationalization process will not have the direct demand-augmenting effect of productivity increases realized through more rapid investment spending.",2020,2,1
"However, I can provide you with some insight into the way the FOMC functions and the impact of monetary policy on the U.S. and global economies.",2007,2,2
"The price of a ton of cold rolled steel sheet, or a linear yard of cotton broad-woven fabrics, could be reasonably compared over a period of years.",2022,2,2
Accelerating productivity poses a significant complication for economic forecasting.,2004,0,2
"By reducing our scope to support the economy by cutting interest rates, the lower bound increases downward risks to employment and inflation.22 To counter these risks, we are prepared to use our full range of tools to support the economy.",2013,0,0
"Although the Fed hasn't started raising rates or reducing the balance sheet, interest rates have moved up notably.",2004,1,2
"While a constant rate of money growth will not always be optimal, if money demand is sufficiently stable, and not particularly interest sensitive, it will pin down inflation in the long run and help smooth the business cycle in the short run.",1999,0,1
Higher productivity is unambiguously good.,2021,2,0
"Consumer sentiment remains solid, and the employment picture is positive.",2019,1,2
"A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to prevent them from becoming a source of instability in their own right (Goodfriend, 1993; Evans and Honkapohja, 2003).",1997,1,0
Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,2013,0,2
"While these studies allow for differences in the weighting of price indexes across different income groups, they rely on the same elementary price indexes for subcategories of goods and services.",2017,2,0
"By definition, this excess of U.S. payments to foreigners over payments received in a given period equals the U.S. current account deficit, which, as I have already noted, was $666 billion in 2004--close to the $617 billion by which the value of U.S. imports exceeded that of exports.",2013,1,2
The first driver is the long-term increase in the demand for currency and reserves.,2013,0,0
The Federal Reserve and ECB Framework Reviews The monetary policy framework reviews conducted by the Federal Reserve and the ECB provide another example of monetary policy correlation.,2007,2,2
"In these circumstances, I believe, it is appropriate to put greater weight on incoming data to determine whether the stance of monetary policy should be changed.",2020,2,2
"First, I will discuss the available empirical evidence from the United States on the effect of changes in asset prices on household consumption and business investment.",2005,2,2
The rapid pace of investment also helped to hold down inflationary pressures by increasing the growth of productive capacity.,2007,1,0
Together these structural changes would imply that the economy can now operate at a lower unemployment rate and at a higher growth rate than previously without inflationary consequences.,2019,0,0
"Given recent developments, the medium-term outlook for inflation will receive particular scrutiny.",1998,2,2
"Second, the correction in equity prices points to a downward revision to consumer spending and to business fixed investment and residential construction as well.",2006,0,0
"Historically, recessions often occurred when the Fed tightened to control inflation.",2007,2,0
"And, of course, despite the improvements seen in the May jobs report, the unemployment rate, at 13.3 percent, remains historically high.",2006,0,0
"For example, in the mid-1970s, just when the FOMC began to specify money growth targets, econometric estimates of M1 money demand relationships began to break down, predicting faster money growth than was actually observed.",1997,2,2
"These communications were, as you would expect, biased--they were all in response to decisions to raise interest rates and most often occurred when those increases came shortly before an election.",2003,1,1
"Stock prices and existing home sales are somewhat correlated, a not altogether unexpected result, because each is affected by interest rates and presumably the gains from each help finance the other.",2006,2,2
"These productivity gains result from many forces, including business investment that has increased the amount and quality of capital available to the workforce, business process innovations, and the growth of innovative, research-intensive industries such as information technology and biotechnology.",2001,2,0
The boom was fueled by a sustained acceleration of productivity and an accompanying rise in corporate profits--fundamental changes that justified a major rise in equity prices.,2021,0,0
"Inflation in 1996, measured by the chain price index for GDP or the core CPI, was the lowest in 30 years.",2005,0,0
"Their key finding, illustrated in figure 3, is that Federal Reserve policy rate surprises attributed to stronger U.S. growth generally have only moderate spillovers to EM financial conditions, whereas U.S. policy rate changes attributed to U.S. inflationary pressures trigger more substantial spillovers to EM financial conditions.",1999,2,0
Economic Outlook and Monetary Policy Now I would like to turn to the current economic scene and this week's FOMC decision.,1997,2,2
"Indeed, the discrepancy between actual and predicted money growth was sufficiently large that the P* model, if not subjected to judgmental adjustments, would have predicted deflation for 1991 and 1992.",2021,2,2
This is a tangible recent example of the need both to judge how the equilibrium real interest rate that is relevant for policy might have changed from a perceived long-run level and to set policy against the background of such an understanding.,2003,2,2
"May 21, 2020 U.S. Economic Outlook and Monetary Policy Vice Chair Richard H. Clarida At the New York Association for Business Economics, New York, New York (via webcast) Share Accessible Keys for Video [Space Bar] toggles play/pause; [Right/Left Arrows] seeks the video forwards and back (5 sec ); [Up/Down Arrows] increase/decrease volume; [M] toggles mute on/off; [F] toggles fullscreen on/off (Except IE 11); The [Tab] key may be used in combination with the [Enter/Return] key to navigate and activate control buttons, such as caption on/off.",2017,2,0
"Another reason for the reliance on judgment in the forecasting process is the practical requirement that the forecast for inflation be consistent with the staff's overall view of the economy, including the forecasts for key economic variables such as wages, interest rates, and consumption spending.",2022,2,2
"And, in my judgment, we may have to rely more on measures other than apparent excess demand to get reliable indications of pending changes in inflationary pressures.",2000,2,2
"There are a variety of versions of this basic approach, depending on measures of utilization and inflation rates and depending on whether the adjustment is made in response to past and current movements in utilization and inflation rates or in response to forecasts of these variables.",2004,2,2
"If the FOMC were to tie mechanically our actions to market prices, then we would be placed in the sorry position of validating whatever whim that currently struck investors' fancy.",2006,2,2
"September 01, 2020 Bringing the Statement on Longer-Run Goals and Monetary Policy Strategy into Alignment with Longer-Run Changes in the Economy Governor Lael Brainard At ""How the Fed Will Respond to the COVID-19 Recession in an Era of Low Rates and Low Inflation,"" an event hosted by the Hutchins Center on Fiscal and Monetary Policy at the Brookings Institution, Washington, D.C. (via webcast) Share Watch Live I want to thank David Wessel for hosting this event.",2006,2,0
"Models of the term structure of interest rates better fit the data under the assumption that both inflation expectations and beliefs about the central bank's reaction function are evolving (Kozicki and Tinsley, 2001; Rudebusch and Wu, 2003; Cogley, 2005).",2020,2,2
"To summarize these international data, one might say that something brought inflation down in the 1980s and 1990s, but success was fairly uniform across both the inflation-targeting and nontargeting countries.",2007,2,2
"At the same time, an acceleration in productivity also appears to have a direct disinflationary effect.",2022,0,2
The increase in upside risks to domestic demand and the diminution of foreign risks together suggest that risks to the outlook are more balanced today than they had been for the preceding two years.,2004,2,0
"Back then, the unemployment rate was 8.1percent and nonfarm payrolls were reported to have increased at a monthly rate of 97,000 over the prior six months; today, those figures are 7.6 percent and 194,000, respectively.",2007,2,0
"January 13, 2021 Full Employment in the New Monetary Policy Framework Governor Lael Brainard At the Inaugural Mike McCracken Lecture on Full Employment Sponsored by the Canadian Association for Business Economics (via webcast) Share I want to thank the Canadian Association for Business Economics for inviting me to join you today, particularly president Bonnie Lemcke and past president Armine Yalnizyan.",2004,2,2
"We said that we would ""aim to achieve inflation moderately above 2 percent for some time"" to ensure that it averages 2 percent over time and that inflation expectations stay anchored.",2003,0,0
Workers in the lowest-wage quartile face an extremely elevated rate of unemployment of around 23 percent.7 The advent of widespread vaccinations should revive in-person schooling and childcare along with demand for the in-person services that employ a significant fraction of the lower-wage workforce.,1999,0,0
"In such an environment, a central bank mandated to pursue price stability can be flexible according to the circumstances, while one with a numerical target may need to obtain formal modification of its objectives.",2021,2,2
"When interest rates increase, prices will undoubtedly adjust to some extent--in some cases simply by rising less rapidly than they would otherwise--and debt-service obligations will move up.",2007,1,1
What does this suggest about monetary policy strategy going forward?,2022,2,2
"We must keep in mind that, difficult as the problem seems, consistently measured prices do exist in principle.",2021,2,2
"Given stable prices, savers and investors have more confidence about the ultimate value of their investments.",1998,1,0
The combination of a commitment to condition liftoff on the sustained achievement of our employment and inflation objectives with yield curve caps targeted at the same horizon has the potential to work well in many circumstances.,2005,2,2
Econometric methods were also refined to improve estimation and to accommodate more-complex dynamics in money demand equations.,2000,2,0
"While great uncertainty regarding the path of fiscal policy and its economic effects will remain for some time, with the economy getting closer to full employment, the prospect of a material increase in fiscal stimulus over a sustained period could reasonably be expected to shift somewhat greater probability toward stronger inflation outcomes.",2019,1,1
"Global factors may have put downward pressure on term premiums because of anxiety about the foreign outlook, which may have increased demand for U.S. assets, or because low rates abroad have depressed U.S. term premiums through a global portfolio balance channel.5 And real rates are quite low globally, reflecting the step-down of productivity growth over the past 10 years as well as shifts in savings and investment demand due to demographic change.6 The Core of the Financial System Is Much Stronger Before turning to the interplay between low rates and the financial system, I will simply point out that both improved risk management at the largest, most systemically important financial institutions (SIFIs) and stronger regulation have made the core of the system much stronger and more resilient than before the crisis.7 The SIFIs have more stable funding, hold much more capital and liquidity, are more conscious of their risks, and are far more resolvable should they fail.",1998,2,0
"After a short coffee break, we have a staff presentation on the alternatives we face in setting monetary policy.",2001,2,2
"Some also argue that resistance to nominal wage cuts will impart an upward bias to real wages as price stability approaches or outright deflation occurs, leaving the economy with a potentially higher level of unemployment in equilibrium.",2022,0,0
We can best promote a progressive credit climate by maintaining an environment of low inflation.,2003,1,0
"For instance, in countries where sovereign or corporate debt levels are high, higher interest rates could increase debt-servicing burdens and concerns about debt sustainability, which could be exacerbated by currency depreciation.",2004,0,1
"In these models, each asset price contains a risk premium that represents the additional return demanded by risk-averse investors for bearing risk.",2020,2,2
"Over time, spot prices are inexorably drawn back to the long-term equilibrium price, as the balance between underlying supply and demand is restored.",1997,2,2
"Under pure monetary targeting, interest rates would fluctuate with shocks in spending.",2000,2,2
"The flow of macrodata received since May has been surprisingly strong, and GDP growth in the third quarter is estimated by many forecasters to have rebounded at roughly a 30 percent annual rate.",2004,1,0
The idea is that providing more information about the Committee's views of the economic outlook may allow financial market prices to reflect more accurately the likely future stance of monetary policy.,1997,2,0
"Indeed, scattered evidence dating back to ancient Rome and before reflects the same order of interest rate magnitude, not a one percent interest rate nor 200 percent.",2005,2,2
"Monetary Policy But it is monetary policy--and the Fed's principal monetary lever, the federal funds rate, which is the interest rate on overnight loans of reserves between depository institutions--that earns the Federal Reserve all that ink and airtime.",2020,2,2
Conclusion: The Challenge Facing Monetary Policy This analysis suggests that monetary policy does face a challenge--rebalancing aggregate supply and demand to contain the risk of higher inflation.,2007,1,0
"Conclusion To sum up, none of us, obviously, can see the future, and instead we shall have to monitor incoming data closely for evidence of any shifts in recent productivity trends.",2007,2,2
"About two years after the onset of the financial crisis, the ECI moved up slightly in 2010 and then remained essentially flat at an annual growth rate of 2 percent over a five-year period between 2010 and 2015.",2004,2,2
"Implications for Monetary Policy In summary, there appears to be some possibility that the recent trend toward disinflation will continue, primarily because of the potentially large amount of economic slack in the system.",2019,0,2
"To abstract from the potential effects of cyclical factors on the yield curve, consider the pattern of forward rates many years into the future, at which point the effects of current cyclical shocks would be expected to no longer be important.2 Such forward rates reflect not only market expectations of future short-term interest rates but also term premiums to compensate for the risk associated with commitments to extend credit so far in the future, including the risk of future inflation.",2003,2,2
"Because good forecasts are so crucial to good monetary policy, I hope and expect to see a great deal more work exploring the robustness of alternative forecasting methods.",2003,2,2
